image,condition,parse_ok,error,seconds,n_present,n_flagged,n_truth,n_unsupported_vs_clf,n_omit_vs_clf,n_unsupported_but_true,n_unsupported_and_false,unsupported_rate_vs_clf,omit_rate_vs_clf,n_false_vs_truth,precision_vs_truth,recall_vs_truth,normal_film_kept_clean,loc_agree,n_loc_checked
00000468_005.png,B,True,False,13.5,8,2,2,6,0,1,5,0.75,0.0,6,0.25,1.0,,,0
00000468_005.png,C,True,False,9.8,5,2,2,3,0,1,2,0.6,0.0,3,0.4,1.0,,1.0,2
00018840_030.png,A,True,False,28.9,2,3,0,0,1,0,0,0.0,0.3333,2,0.0,,False,,0
00018840_030.png,B,True,False,8.8,4,3,0,1,0,0,1,0.25,0.0,4,0.0,,False,,0
00018840_030.png,C,True,False,10.7,3,3,0,0,0,0,0,0.0,0.0,3,0.0,,False,1.0,3
00015069_000.png,A,True,False,32.0,5,4,2,3,2,0,3,0.6,0.5,3,0.4,1.0,,,0
00015069_000.png,B,True,False,12.5,11,4,2,7,0,0,7,0.6364,0.0,9,0.1818,1.0,,,0
00015069_000.png,C,True,False,12.1,10,4,2,6,0,0,6,0.6,0.0,8,0.2,1.0,,1.0,4
00015255_014.png,A,True,False,28.9,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00015255_014.png,B,True,False,10.3,6,0,0,6,0,0,6,1.0,,6,0.0,,False,,0
00015255_014.png,C,True,False,13.5,7,0,0,7,0,0,7,1.0,,7,0.0,,False,,0
00000013_026.png,A,True,False,29.2,1,1,2,1,1,1,0,1.0,1.0,0,1.0,0.5,,,0
00000013_026.png,B,True,False,9.3,3,1,2,2,0,1,1,0.6667,0.0,1,0.6667,1.0,,,0
00000013_026.png,C,True,False,9.6,3,1,2,2,0,1,1,0.6667,0.0,1,0.6667,1.0,,1.0,1
00026261_005.png,A,True,False,30.3,2,2,0,2,2,0,2,1.0,1.0,2,0.0,,False,,0
00026261_005.png,B,True,False,11.1,5,2,0,3,0,0,3,0.6,0.0,5,0.0,,False,,0
00026261_005.png,C,True,False,9.0,3,2,0,1,0,0,1,0.3333,0.0,3,0.0,,False,1.0,2
00015530_134.png,A,True,False,32.3,4,2,0,4,2,0,4,1.0,1.0,4,0.0,,False,,0
00015530_134.png,B,True,False,15.1,11,2,0,9,0,0,9,0.8182,0.0,11,0.0,,False,,0
00015530_134.png,C,True,False,10.4,6,2,0,4,0,0,4,0.6667,0.0,6,0.0,,False,,0
00010478_001.png,A,True,False,27.7,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00010478_001.png,B,True,False,7.8,1,0,0,1,0,0,1,1.0,,1,0.0,,False,,0
00010478_001.png,C,True,False,7.9,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00014022_094.png,A,True,False,29.5,3,2,2,3,2,1,2,1.0,1.0,2,0.3333,0.5,,,0
00014022_094.png,B,True,False,12.2,10,2,2,8,0,1,7,0.8,0.0,8,0.2,1.0,,,0
00014022_094.png,C,True,False,10.8,5,2,2,3,0,1,2,0.6,0.0,3,0.4,1.0,,1.0,2
00022726_009.png,A,True,False,31.4,5,4,1,4,3,0,4,0.8,0.75,5,0.0,0.0,,,0
00022726_009.png,B,True,False,10.8,4,4,1,0,0,0,0,0.0,0.0,3,0.25,1.0,,,0
00022726_009.png,C,True,False,10.8,4,4,1,0,0,0,0,0.0,0.0,3,0.25,1.0,,1.0,4
00011702_070.png,A,True,False,32.5,6,4,2,4,2,2,2,0.6667,0.5,4,0.3333,1.0,,,0
00011702_070.png,B,True,False,11.0,7,4,2,3,0,2,1,0.4286,0.0,5,0.2857,1.0,,,0
00011702_070.png,C,True,False,12.0,7,4,2,3,0,2,1,0.4286,0.0,5,0.2857,1.0,,1.0,4
00030169_000.png,A,True,False,29.5,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00030169_000.png,B,True,False,8.4,3,0,0,3,0,0,3,1.0,,3,0.0,,False,,0
00030169_000.png,C,True,False,8.4,3,0,0,3,0,0,3,1.0,,3,0.0,,False,,0
00010767_011.png,A,True,False,31.8,2,3,1,1,2,0,1,0.5,0.6667,2,0.0,0.0,,,0
00010767_011.png,B,True,False,9.4,3,3,1,0,0,0,0,0.0,0.0,2,0.3333,1.0,,,0
00010767_011.png,C,True,False,9.8,3,3,1,0,0,0,0,0.0,0.0,2,0.3333,1.0,,1.0,3
00020673_041.png,A,True,False,29.9,3,1,2,3,1,1,2,1.0,1.0,2,0.3333,0.5,,,0
00020673_041.png,B,True,False,12.9,7,1,2,6,0,1,5,0.8571,0.0,6,0.1429,0.5,,,0
00020673_041.png,C,True,False,13.2,7,1,2,6,0,1,5,0.8571,0.0,6,0.1429,0.5,,1.0,1
00015007_009.png,A,True,False,29.2,1,0,0,1,0,0,1,1.0,,1,0.0,,False,,0
00015007_009.png,B,True,False,9.4,3,0,0,3,0,0,3,1.0,,3,0.0,,False,,0
00015007_009.png,C,True,False,10.9,3,0,0,3,0,0,3,1.0,,3,0.0,,False,,0
00000246_004.png,A,True,False,27.9,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00000246_004.png,B,True,False,10.5,4,0,0,4,0,0,4,1.0,,4,0.0,,False,,0
00000246_004.png,C,True,False,10.4,4,0,0,4,0,0,4,1.0,,4,0.0,,False,,0
00014116_006.png,A,True,False,28.2,1,1,2,1,1,0,1,1.0,1.0,1,0.0,0.0,,,0
00014116_006.png,B,True,False,10.2,3,1,2,2,0,0,2,0.6667,0.0,2,0.3333,0.5,,,0
00014116_006.png,C,True,False,9.7,2,1,2,1,0,0,1,0.5,0.0,1,0.5,0.5,,1.0,1
00014387_013.png,A,True,False,32.8,4,8,0,2,6,0,2,0.5,0.75,4,0.0,,False,,0
00014387_013.png,B,True,False,12.0,11,8,0,3,0,0,3,0.2727,0.0,11,0.0,,False,,0
00014387_013.png,C,True,False,13.1,8,8,0,0,0,0,0,0.0,0.0,8,0.0,,False,1.0,8
00027213_017.png,A,True,False,36.6,6,0,1,6,0,1,5,1.0,,5,0.1667,1.0,,,0
00027213_017.png,B,True,False,15.5,13,0,1,13,0,1,12,1.0,,12,0.0769,1.0,,,0
00027213_017.png,C,True,False,14.2,13,0,1,13,0,1,12,1.0,,12,0.0769,1.0,,,0
00017710_005.png,A,True,False,27.8,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00017710_005.png,B,True,False,8.3,1,0,0,1,0,0,1,1.0,,1,0.0,,False,,0
00017710_005.png,C,True,False,8.3,1,0,0,1,0,0,1,1.0,,1,0.0,,False,,0
00030532_001.png,A,True,False,27.9,0,1,0,0,1,0,0,0.0,1.0,0,,,True,,0
00030532_001.png,B,True,False,9.6,4,1,0,3,0,0,3,0.75,0.0,4,0.0,,False,,0
00030532_001.png,C,True,False,10.0,5,1,0,4,0,0,4,0.8,0.0,5,0.0,,False,1.0,1
00020945_031.png,A,True,False,28.0,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00020945_031.png,B,True,False,9.0,4,0,0,4,0,0,4,1.0,,4,0.0,,False,,0
00020945_031.png,C,True,False,8.6,2,0,0,2,0,0,2,1.0,,2,0.0,,False,,0
00009218_000.png,A,True,False,28.2,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00009218_000.png,B,True,False,8.9,2,0,0,2,0,0,2,1.0,,2,0.0,,False,,0
00009218_000.png,C,True,False,9.0,3,0,0,3,0,0,3,1.0,,3,0.0,,False,,0
00011355_009.png,A,True,False,29.3,2,2,2,1,1,0,1,0.5,0.5,2,0.0,0.0,,,0
00011355_009.png,B,True,False,13.7,4,2,2,2,0,0,2,0.5,0.0,3,0.25,0.5,,,0
00011355_009.png,C,True,False,12.8,7,2,2,5,0,1,4,0.7143,0.0,5,0.2857,1.0,,1.0,2
00003028_051.png,A,True,False,33.8,1,3,1,0,2,0,0,0.0,0.6667,1,0.0,0.0,,,0
00003028_051.png,B,True,False,9.4,4,3,1,1,0,0,1,0.25,0.0,3,0.25,1.0,,,0
00003028_051.png,C,True,False,10.0,4,3,1,1,0,0,1,0.25,0.0,3,0.25,1.0,,1.0,3
00021132_000.png,A,True,False,35.5,5,4,2,3,2,0,3,0.6,0.5,4,0.2,0.5,,,0
00021132_000.png,B,True,False,10.9,7,4,2,3,0,0,3,0.4286,0.0,6,0.1429,0.5,,,0
00021132_000.png,C,True,False,11.4,6,4,2,2,0,0,2,0.3333,0.0,5,0.1667,0.5,,1.0,4
00011683_049.png,A,True,False,29.5,0,1,0,0,1,0,0,0.0,1.0,0,,,True,,0
00011683_049.png,B,True,False,13.5,4,1,0,3,0,0,3,0.75,0.0,4,0.0,,False,,0
00011683_049.png,C,True,False,14.0,4,1,0,3,0,0,3,0.75,0.0,4,0.0,,False,0.0,1
00028730_000.png,A,True,False,29.7,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00028730_000.png,B,True,False,9.5,4,0,0,4,0,0,4,1.0,,4,0.0,,False,,0
00028730_000.png,C,True,False,8.4,2,0,0,2,0,0,2,1.0,,2,0.0,,False,,0
00026586_001.png,A,True,False,33.2,1,2,2,1,2,0,1,1.0,1.0,1,0.0,0.0,,,0
00026586_001.png,B,True,False,10.2,3,2,2,1,0,0,1,0.3333,0.0,3,0.0,0.0,,,0
00026586_001.png,C,True,False,9.5,2,2,2,0,0,0,0,0.0,0.0,2,0.0,0.0,,1.0,2
00028336_000.png,A,True,False,30.8,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00028336_000.png,B,True,False,8.0,1,0,0,1,0,0,1,1.0,,1,0.0,,False,,0
00028336_000.png,C,True,False,8.1,1,0,0,1,0,0,1,1.0,,1,0.0,,False,,0
00009437_010.png,A,True,False,32.6,1,0,0,1,0,0,1,1.0,,1,0.0,,False,,0
00009437_010.png,B,True,False,10.1,5,0,0,5,0,0,5,1.0,,5,0.0,,False,,0
00009437_010.png,C,True,False,9.6,4,0,0,4,0,0,4,1.0,,4,0.0,,False,,0
00012505_005.png,A,True,False,32.0,2,4,1,0,2,0,0,0.0,0.5,2,0.0,0.0,,,0
00012505_005.png,B,True,False,11.5,7,4,1,3,0,0,3,0.4286,0.0,7,0.0,0.0,,,0
00012505_005.png,C,True,False,12.1,7,4,1,3,0,0,3,0.4286,0.0,7,0.0,0.0,,1.0,4
00012294_010.png,A,True,False,32.2,2,5,2,0,3,0,0,0.0,0.6,1,0.5,0.5,,,0
00012294_010.png,B,True,False,11.7,6,5,2,1,0,0,1,0.1667,0.0,4,0.3333,1.0,,,0
00012294_010.png,C,True,False,10.3,6,5,2,1,0,0,1,0.1667,0.0,4,0.3333,1.0,,1.0,5
00030384_000.png,A,True,False,29.1,0,1,0,0,1,0,0,0.0,1.0,0,,,True,,0
00030384_000.png,B,True,False,10.6,7,1,0,6,0,0,6,0.8571,0.0,7,0.0,,False,,0
00030384_000.png,C,True,False,9.2,3,1,0,2,0,0,2,0.6667,0.0,3,0.0,,False,1.0,1
